O*NET-SOC Code,Title,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Auto label value,Auto probability0,Auto probability1,Auto probability2,Auto probability
19-3034.00,School Psychologists,4.75,4.5,4.12,4.25,2.38,1.75,4.12,3.88,3.88,4.0,5.0,3.62,3.5,3.38,3.5,3.88,4.0,1.12,0.62,0.0,0.0,0.75,0.88,0.0,0.0,0.0,0.0,0.38,4.0,3.38,3.5,3.62,0.0,0.0,2.88,0,0.3314664107791714,0.3127271700700476,0.3926344097421577,0.34560933019712553
19-3041.00,Sociologists,4.88,4.62,4.75,4.5,3.38,3.62,4.25,4.12,4.0,3.88,4.25,3.12,3.12,3.0,3.88,3.12,3.75,2.5,0.62,0.0,0.0,0.75,0.38,0.0,0.0,0.0,0.0,0.5,3.75,3.62,3.0,3.0,0.88,1.5,3.0,0,0.44000805361172013,0.47985942261383485,0.44613854082466275,0.4553353390167392
19-3051.00,Urban and Regional Planners,4.38,4.38,4.12,4.25,3.5,2.75,4.25,4.12,2.88,3.62,3.75,3.75,3.75,3.38,2.88,3.0,4.12,3.75,1.12,0.0,0.0,1.38,1.12,0.5,0.0,0.0,0.0,1.25,4.25,4.12,4.0,3.75,2.75,2.25,3.12,0,0.40374514992754484,0.43690349240768,0.4173020282459845,0.41931689019373647
19-3091.00,Anthropologists and Archeologists,4.88,4.25,4.94,4.56,3.25,4.31,4.31,4.19,3.88,3.75,3.62,3.5,3.06,2.62,3.88,2.69,3.94,2.75,0.94,0.25,0.0,1.31,1.31,0.75,0.0,0.19,0.0,1.0,4.0,3.56,3.31,3.25,1.5,1.75,3.19,0,0.44678018513911866,0.47421718120339307,0.4458043897673889,0.4556005853699669
19-3092.00,Geographers,4.75,4.0,4.75,4.25,3.0,3.88,4.0,3.88,3.62,3.5,3.12,3.25,2.75,2.75,3.62,3.0,3.88,2.75,1.12,0.0,0.0,0.88,1.25,0.0,0.0,0.0,0.0,0.5,3.62,3.75,3.5,3.38,1.5,1.75,2.88,1,0.48331904852984664,0.5443476839150776,0.47400957995160553,0.5005587707988433
19-3093.00,Historians,4.88,4.0,4.88,4.12,1.12,2.62,4.12,3.75,3.62,3.12,3.38,3.0,3.0,2.25,3.38,2.25,3.12,1.88,0.5,0.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.75,3.38,2.25,2.25,2.88,0.88,1.12,2.88,1,0.56753421950134,0.6204358407054542,0.5449623712989649,0.577644143835253
19-3094.00,Political Scientists,4.75,4.5,4.38,4.5,3.12,3.25,4.5,3.88,3.38,3.62,3.88,3.0,3.0,2.75,3.25,3.12,3.88,2.38,0.38,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.5,3.75,3.62,3.25,3.0,0.62,0.75,2.5,1,0.5228829201931688,0.5880270492130535,0.5004518166477476,0.5371205953513233
19-3099.01,Transportation Planners,4.25,4.0,4.0,3.88,3.75,2.12,4.25,3.75,3.12,3.75,3.25,3.75,3.62,3.0,3.12,3.25,3.88,3.12,1.62,0.0,0.0,1.75,2.0,1.75,0.0,0.12,0.12,1.0,4.0,3.88,4.0,3.75,2.25,2.62,3.0,0,0.4124882151464817,0.4319910957236459,0.42748320720187394,0.42398750602400054
19-4012.00,Agricultural Technicians,3.88,3.38,3.62,3.12,3.0,3.0,4.0,3.0,3.0,3.25,3.0,3.0,2.62,2.62,3.0,2.75,3.5,0.38,0.88,1.0,0.0,0.75,3.0,2.62,0.75,2.12,1.25,1.0,3.0,2.88,2.75,3.0,1.25,1.62,3.0,1,0.5834895357295409,0.6150770266379482,0.5602454964577674,0.5862706862750855
19-4012.01,Precision Agriculture Technicians,4.0,3.88,3.38,3.38,3.38,3.12,3.62,3.75,2.75,3.5,2.88,3.0,2.88,2.75,3.0,3.0,3.25,3.25,1.0,2.12,1.38,1.62,2.88,2.75,2.38,2.38,2.38,3.0,3.5,3.25,3.25,2.88,0.88,1.12,2.38,1,0.5514559047332028,0.5434046180149608,0.5355087061950883,0.5434564096477507
19-4013.00,Food Science Technicians,4.0,3.38,3.25,3.25,3.12,3.25,3.62,3.25,2.88,3.12,3.0,3.0,2.12,2.12,3.12,2.38,3.0,0.88,0.5,1.88,0.0,0.5,2.88,1.5,2.12,1.88,1.88,3.12,3.0,2.25,2.5,2.88,0.75,1.75,2.62,1,0.6428259904056972,0.6933803799028055,0.6011282032410179,0.6457781911831736
19-4021.00,Biological Technicians,4.62,3.75,3.75,3.75,3.62,3.62,4.0,3.88,2.75,3.75,2.75,2.62,2.12,1.38,2.5,2.12,3.5,1.62,1.38,1.5,0.0,1.75,3.0,2.75,1.75,2.62,0.88,3.12,3.5,3.0,2.88,2.88,1.0,2.0,2.12,1,0.6649625917046365,0.6656869864995087,0.6007739979449127,0.6438078587163526
19-4031.00,Chemical Technicians,4.12,3.88,4.0,3.38,3.12,4.12,4.12,3.25,3.25,3.88,2.88,3.0,2.25,2.62,3.12,2.75,3.12,2.62,1.62,2.75,0.0,0.62,3.25,3.0,3.0,3.0,2.75,3.38,3.25,3.0,3.12,3.0,1.0,1.88,2.5,1,0.53925591646491,0.5826453065393196,0.5256492440913263,0.549183489031852
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4.0,4.0,3.88,3.75,3.12,3.38,3.75,3.12,3.12,3.88,3.12,3.0,3.12,3.0,3.12,2.88,3.38,3.0,0.75,1.88,0.0,1.12,3.12,2.75,2.12,2.62,2.0,2.88,3.38,3.25,3.0,3.25,1.5,1.88,3.0,1,0.5026374547283732,0.5397873078998572,0.49862538920308364,0.5136833839437713
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4.0,3.31,3.38,3.31,2.81,3.62,3.38,2.87,2.44,3.31,2.88,2.94,2.37,2.0,2.5,2.25,3.0,2.31,1.06,1.62,0.19,1.06,3.12,2.81,1.44,2.31,1.5,2.75,2.94,2.81,2.56,2.94,1.06,1.5,2.62,1,0.6551014309495713,0.7093927620148293,0.6066066796742007,0.657033624212867
19-4051.00,Nuclear Technicians,4.0,4.0,3.0,3.62,3.38,3.12,3.62,3.12,2.5,4.0,2.38,2.88,2.12,2.12,2.25,2.12,3.0,0.38,1.38,2.0,0.0,0.75,4.0,3.75,2.88,3.5,3.38,3.25,3.62,2.75,2.62,3.0,0.75,0.88,2.0,1,0.6725479915291999,0.6727642826097053,0.6152143358821434,0.6535088700070162
19-4051.02,Nuclear Monitoring Technicians,4.0,3.88,3.62,3.38,3.12,3.12,4.0,3.12,3.25,4.0,2.88,3.0,2.75,2.75,3.0,2.75,3.12,0.25,0.62,0.5,0.0,0.62,3.62,2.88,1.25,2.75,0.75,3.12,3.38,3.0,2.88,3.12,1.12,1.12,2.75,1,0.514272938269837,0.5168958710740057,0.520012130592697,0.5170603133121799
19-4061.00,Social Science Research Assistants,4.75,4.12,3.88,3.75,3.88,3.38,3.88,3.62,3.12,3.12,2.88,3.0,2.5,2.38,2.88,2.5,3.12,2.0,1.25,0.5,0.0,2.75,1.88,0.62,0.0,1.38,0.0,2.88,3.12,2.88,3.0,2.88,1.5,2.0,2.38,1,0.6321182272542671,0.6877298463588772,0.5727221133159333,0.6308567289763592
19-4071.00,Forest and Conservation Technicians,3.75,3.75,3.12,3.5,2.75,2.25,3.38,3.0,3.0,3.62,3.12,3.25,3.12,2.38,3.0,2.88,3.0,1.12,1.12,1.88,0.25,1.62,2.88,2.88,1.88,2.0,1.88,2.75,3.38,3.0,3.0,3.25,1.38,1.75,3.12,1,0.5353127915732472,0.5740459731599117,0.5287252144033019,0.5460279930454869
19-4092.00,Forensic Science Technicians,4.38,4.25,4.12,4.12,3.12,3.25,4.0,3.62,3.38,3.5,3.38,3.38,3.12,2.25,3.75,2.88,3.62,1.62,0.88,2.38,0.0,1.25,2.62,2.88,1.75,2.12,1.5,2.25,3.75,3.0,2.62,3.25,1.12,1.0,3.0,1,0.5062160653264804,0.5363836595811335,0.497841357002085,0.5134803606365663
19-4099.01,Quality Control Analysts,3.88,3.75,3.38,3.62,3.25,2.88,3.62,3.12,2.88,3.88,3.0,2.75,2.5,2.62,3.0,2.88,3.25,1.88,1.12,1.12,0.5,0.75,3.25,3.0,1.62,3.0,1.38,4.0,3.12,3.0,3.0,3.0,0.75,1.38,2.0,1,0.5259432652506817,0.5408398915123911,0.5306751540961869,0.5324861036197532
19-4099.03,Remote Sensing Technicians,4.12,3.75,3.75,3.62,3.88,2.75,3.88,3.5,3.0,3.62,2.75,3.38,2.88,2.5,3.25,2.62,3.38,1.88,1.62,2.38,0.12,3.25,3.12,2.25,2.0,2.38,1.5,2.88,3.62,3.12,3.0,2.75,1.38,1.88,2.5,1,0.5936834588675595,0.61085701865332,0.5483535685433196,0.584298015354733
19-5011.00,Occupational Health and Safety Specialists,4.0,3.88,3.88,4.12,3.38,3.38,4.12,4.0,3.5,4.12,3.88,3.12,3.75,3.12,3.38,3.12,3.88,3.12,1.38,1.0,0.0,1.25,3.62,2.12,0.12,2.25,0.12,3.5,3.88,3.62,3.88,3.0,1.5,1.62,2.88,0,0.3330879581761792,0.31882302423957753,0.39366945137990683,0.34852681126522117
19-5012.00,Occupational Health and Safety Technicians,3.88,3.88,3.88,3.88,2.75,2.88,3.88,3.25,3.12,3.75,3.12,3.0,3.0,3.0,3.12,3.0,3.25,2.62,1.12,0.12,0.0,1.12,3.12,2.25,0.12,1.62,0.0,2.75,3.25,3.12,3.0,3.12,1.38,1.75,2.38,0,0.4582987311450637,0.4248676714150861,0.482117121436211,0.4550945079987869
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",4.25,4.12,4.0,4.0,2.12,0.62,4.0,3.88,3.62,3.75,5.12,3.88,3.88,3.25,3.5,4.0,3.75,0.25,0.88,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,4.0,3.12,3.38,3.88,0.62,0.62,3.0,0,0.30515326858596836,0.28489355011384987,0.38043240889578556,0.32349307586520126
21-1014.00,Mental Health Counselors,4.62,4.88,4.25,4.25,2.12,3.5,4.5,4.12,3.88,4.0,5.62,3.5,4.12,3.5,3.25,4.0,3.75,2.88,0.75,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,1.0,4.0,3.62,4.0,3.25,0.88,0.75,3.0,0,0.26891197543739054,0.2496294491256208,0.34696120877629255,0.28850087777976796
21-1015.00,Rehabilitation Counselors,4.0,4.12,4.0,4.0,2.0,2.0,3.88,3.25,3.75,4.12,4.88,3.75,3.75,3.12,3.0,4.0,3.62,3.0,0.62,0.0,0.0,0.5,0.75,0.12,0.0,0.0,0.0,0.25,3.62,3.62,3.5,3.12,0.62,0.5,3.0,0,0.3228474905151302,0.29005366646600805,0.3942776257227649,0.33572626090130103
21-1021.00,"Child, Family, and School Social Workers",4.12,4.75,4.12,4.12,1.88,2.0,4.25,3.75,3.12,3.88,4.62,3.88,3.88,4.0,3.25,4.12,3.5,3.0,0.62,0.0,0.0,0.5,2.0,1.62,0.0,0.62,0.0,1.0,4.0,3.0,3.12,3.88,0.38,0.38,3.0,0,0.26773476404400753,0.2001729560208787,0.3562967501043204,0.27473482338973554
21-1022.00,Healthcare Social Workers,4.25,4.75,4.12,4.25,2.0,2.62,4.0,4.0,3.62,3.88,5.12,4.0,3.75,3.25,3.0,4.38,3.88,3.0,0.75,0.0,0.0,0.75,0.88,0.88,0.0,0.0,0.0,0.88,3.88,2.5,3.62,3.25,0.75,0.88,3.12,0,0.2691887021980506,0.2256085591466217,0.35537034501811604,0.28338920212092944
21-1023.00,Mental Health and Substance Abuse Social Workers,4.12,4.0,4.0,4.0,2.0,2.75,4.0,3.88,3.88,4.0,5.12,4.0,4.0,3.75,3.75,4.12,4.0,2.62,1.0,0.0,0.0,1.0,2.0,0.62,0.0,0.0,0.0,1.0,3.88,3.25,3.12,3.88,1.0,1.0,3.0,0,0.22628910369530786,0.180315711583944,0.32360427043948903,0.24340302857291363
21-1091.00,Health Education Specialists,4.0,4.0,4.0,4.25,2.25,2.75,4.0,3.62,4.12,3.75,3.88,3.25,3.25,3.12,3.25,3.25,3.0,3.0,1.0,0.0,0.0,0.5,1.62,0.75,0.0,0.0,0.0,0.38,3.12,3.12,3.0,3.25,2.12,2.12,3.0,0,0.39003451224863284,0.3698490813633555,0.43248148079730697,0.3974550248030984
21-1092.00,Probation Officers and Correctional Treatment Specialists,4.12,4.0,3.88,4.0,1.25,0.75,4.0,3.25,2.62,3.88,4.38,3.75,3.75,3.12,3.0,3.5,3.38,1.62,0.62,0.0,0.0,0.75,1.75,1.38,0.0,0.62,0.0,1.38,3.75,3.0,3.0,3.38,1.0,0.88,2.5,0,0.36091563135659044,0.2721868036547903,0.42892576013306893,0.3540093983814832
21-1093.00,Social and Human Service Assistants,4.0,4.0,3.88,4.12,2.0,1.5,4.0,3.25,3.0,3.75,4.12,3.38,3.38,3.0,3.12,4.0,3.12,1.38,0.88,0.0,0.0,0.88,1.38,1.62,0.0,0.25,0.0,1.25,3.25,3.12,3.0,3.12,1.25,1.38,2.38,0,0.3857852064576832,0.31026232770813067,0.44291186023207274,0.3796531314659622
21-1094.00,Community Health Workers,4.0,4.0,3.88,4.0,2.12,0.5,3.75,3.62,3.75,3.75,4.25,3.62,3.75,3.0,3.62,3.88,3.5,0.75,1.0,0.0,0.0,0.75,1.88,1.75,0.0,1.12,0.0,1.38,3.38,3.25,3.25,3.38,1.62,1.75,3.0,0,0.2881148735410761,0.18811845631694268,0.37883491727075125,0.28502274904292335
21-2021.00,"Directors, Religious Activities and Education",4.12,3.75,3.88,4.0,2.88,0.88,3.88,3.75,3.75,3.88,4.5,3.88,3.62,2.88,3.25,3.5,3.75,2.62,0.62,0.0,0.0,0.75,1.5,0.62,0.0,0.0,0.0,1.12,3.38,3.0,3.25,3.62,3.12,2.75,3.62,0,0.3123163434141816,0.2613777513913078,0.37967761085985785,0.3177905685551157
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.75,5.5,4.88,4.75,2.38,0.75,5.12,4.12,2.88,4.0,4.0,2.88,3.62,3.5,2.88,2.88,4.0,1.75,0.88,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.12,4.88,2.75,2.88,3.38,1.0,0.62,2.5,0,0.48528775495720566,0.5141062525939617,0.4746662923579805,0.4913534333030493
23-1022.00,"Arbitrators, Mediators, and Conciliators",4.25,4.88,4.38,4.75,2.0,0.62,4.75,4.0,3.0,3.5,3.62,3.12,4.38,5.0,3.12,3.12,3.75,1.0,0.38,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.12,4.12,2.88,2.88,3.0,0.12,0.12,1.62,0,0.47736754635783285,0.5183152516674596,0.48020257940945754,0.49196179247825
23-2093.00,"Title Examiners, Abstractors, and Searchers",3.88,3.62,3.62,3.5,2.25,0.25,3.62,3.12,2.12,3.0,2.75,3.0,2.38,2.25,2.0,2.88,3.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.25,2.75,2.12,1.62,3.25,0.62,0.62,2.5,1,0.7079216038407594,0.7801225171198212,0.6490524588771223,0.7123655266125676
25-1011.00,"Business Teachers, Postsecondary",5.0,4.12,5.0,4.88,3.25,1.38,4.38,4.38,4.75,4.0,3.38,3.0,2.88,2.75,4.62,3.0,3.75,2.12,0.62,0.0,0.0,1.25,0.5,0.12,0.0,0.0,0.0,0.62,4.0,3.25,3.25,3.5,0.75,0.88,2.5,0,0.4713478229982542,0.5265139088858533,0.4626201472857474,0.48682729305661826
25-1021.00,"Computer Science Teachers, Postsecondary",5.0,4.38,4.88,4.88,3.5,2.62,4.5,4.12,4.38,4.0,3.75,3.12,3.0,2.88,4.75,3.25,4.0,2.62,1.88,0.5,0.0,3.12,1.25,0.75,0.38,0.38,0.0,1.62,3.88,3.62,3.38,3.62,1.0,1.62,3.0,0,0.3988025376293649,0.42631173416995694,0.41384867577926343,0.41298764919286174
25-1022.00,"Mathematical Science Teachers, Postsecondary",4.88,4.0,4.75,4.38,4.88,2.25,4.12,4.12,4.25,4.0,3.25,3.0,2.75,2.62,4.25,3.0,3.62,1.75,0.62,0.0,0.0,0.88,0.25,0.0,0.0,0.0,0.0,0.5,3.38,2.88,3.12,3.25,0.62,0.75,2.12,1,0.5635078888365683,0.6473308482121638,0.520327404509537,0.5770553805194231
25-1031.00,"Architecture Teachers, Postsecondary",5.0,4.38,5.0,4.88,3.75,2.62,4.38,4.5,4.38,4.12,3.62,3.12,3.0,3.0,4.88,3.25,4.25,3.12,0.88,0.38,0.0,1.0,1.25,0.5,0.0,0.38,0.0,1.25,4.12,3.25,3.5,3.5,1.12,2.0,3.0,0,0.3633381861408793,0.37884434324666927,0.3942551977418134,0.3788125757097873
25-1032.00,"Engineering Teachers, Postsecondary",4.88,4.12,4.75,4.88,4.5,3.62,4.12,4.12,4.25,4.12,3.5,3.0,2.88,3.0,4.62,2.88,3.38,2.88,1.88,0.38,0.0,1.62,1.88,0.62,0.0,0.5,0.0,1.5,4.0,3.38,3.38,3.0,1.25,1.25,2.75,0,0.4405303984361524,0.4755857382668651,0.4424106520165054,0.45284226290650764
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5.0,4.62,5.0,5.0,3.25,3.62,4.12,4.5,4.62,4.25,3.38,3.25,2.88,2.62,4.75,3.0,3.88,1.5,0.75,0.0,0.0,0.88,1.38,1.12,0.0,0.88,0.0,1.88,4.0,3.25,3.38,3.5,1.25,1.75,2.88,0,0.3707941242884658,0.3714281184548156,0.4043473579174588,0.3821898668869134
25-1042.00,"Biological Science Teachers, Postsecondary",5.12,4.38,4.75,4.75,3.25,4.0,4.12,4.5,4.38,3.88,3.38,2.88,2.88,2.88,4.38,3.12,3.75,2.38,0.38,0.38,0.0,0.5,1.0,0.12,0.62,0.88,0.88,1.38,4.12,3.25,3.25,3.5,1.5,1.75,2.75,0,0.4243907553321833,0.4389066698789321,0.4361474626052484,0.43314829593878795
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5.0,4.75,4.88,4.75,3.12,3.38,4.25,4.25,4.12,3.88,3.75,3.0,2.88,2.88,4.88,3.0,4.0,2.62,1.0,0.0,0.0,1.12,1.5,1.38,0.0,0.62,0.0,1.25,3.5,3.0,3.12,3.25,1.75,1.75,3.0,0,0.39067371794524774,0.39115514901857296,0.4164959639106769,0.3994416102914992
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5.12,4.62,4.75,4.75,4.0,4.12,4.25,4.25,4.25,4.12,3.62,3.12,3.0,3.0,4.25,3.25,3.88,2.88,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.12,0.0,0.75,4.0,3.62,3.25,3.62,1.38,2.12,2.88,0,0.4108215212690425,0.4447812778751796,0.4207505868668875,0.4254511286703699
25-1052.00,"Chemistry Teachers, Postsecondary",5.0,4.0,4.88,5.0,3.75,4.25,4.0,4.0,4.0,4.0,3.38,3.0,3.0,2.38,4.62,3.0,4.0,3.0,1.25,0.88,0.0,1.12,1.88,0.25,0.12,1.12,0.0,2.12,3.75,3.25,3.12,3.62,1.75,1.75,3.0,0,0.39680652171654174,0.4133451468161695,0.4198421186966641,0.40999792907645843
25-1053.00,"Environmental Science Teachers, Postsecondary",5.0,4.25,4.75,4.5,3.25,4.5,4.25,4.25,4.25,4.0,3.62,3.25,3.0,2.88,4.38,3.12,3.88,2.88,0.38,0.0,0.0,0.38,0.88,0.0,0.0,0.5,0.0,1.38,3.88,3.12,3.12,3.5,1.5,2.0,2.88,0,0.38230281136927147,0.4001185992447631,0.4127489244522735,0.39839011168876937
25-1054.00,"Physics Teachers, Postsecondary",5.0,4.62,5.0,5.0,4.0,4.62,4.88,4.38,4.38,4.0,3.12,3.12,3.0,2.5,4.38,3.0,4.0,2.75,1.0,1.0,0.0,1.12,1.62,0.62,1.25,1.5,1.38,2.12,3.88,3.12,3.0,3.12,1.38,2.0,3.12,0,0.42935882704128403,0.4494003106638189,0.4347267214160553,0.4378286197070527
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5.0,4.38,5.0,4.88,3.12,4.0,4.25,4.38,4.25,4.12,3.75,3.12,3.0,3.0,4.25,3.0,3.88,2.38,0.5,0.0,0.0,0.5,0.12,0.0,0.0,0.0,0.0,0.38,4.0,3.38,3.62,3.62,1.0,1.38,3.0,0,0.41687121086397383,0.4441019479086492,0.4288434597307571,0.42993887283446003
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4.88,4.25,4.88,4.75,2.12,2.75,4.12,4.0,4.0,3.88,3.5,3.0,3.12,2.38,3.88,3.0,3.62,2.75,1.0,0.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.62,3.62,3.0,3.0,3.75,1.62,1.62,3.12,0,0.4392145045272571,0.47961838815655256,0.4499647812046277,0.45626589129614575
25-1063.00,"Economics Teachers, Postsecondary",4.38,4.12,4.12,4.25,3.75,2.88,4.12,4.12,4.0,3.62,3.5,3.0,2.5,2.12,4.25,2.75,3.62,2.75,0.75,0.0,0.0,1.38,1.12,0.0,0.0,0.0,0.0,0.25,3.88,3.12,3.12,3.0,1.12,0.88,2.62,1,0.5617682652176086,0.6496979125911366,0.5217153154473664,0.5777271644187039
25-1064.00,"Geography Teachers, Postsecondary",4.75,4.0,4.88,4.88,3.0,3.5,4.0,4.12,3.88,3.88,3.25,3.38,3.12,3.0,4.75,3.0,3.75,2.5,1.12,0.0,0.0,1.38,0.5,0.0,0.0,0.0,0.0,0.38,3.75,3.0,3.0,3.25,1.38,1.25,3.0,0,0.4426383351265031,0.4992117585881839,0.4471494116333332,0.46299983511600673
25-1065.00,"Political Science Teachers, Postsecondary",4.88,4.0,4.88,5.0,2.12,2.25,4.12,4.0,4.0,3.62,3.5,3.0,3.12,2.88,4.25,3.12,4.0,2.88,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,3.75,3.0,3.0,3.12,0.88,1.0,2.88,0,0.4461375842985831,0.4806054100195567,0.45808867478515936,0.4616105563677664
25-1066.00,"Psychology Teachers, Postsecondary",5.0,4.88,5.0,5.0,3.25,4.12,4.25,4.62,5.0,3.88,4.5,3.0,2.88,2.5,4.25,3.0,3.88,2.25,0.75,0.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.5,4.12,3.12,3.25,3.5,0.75,1.0,3.0,0,0.4141647281752512,0.4401376781967059,0.42699926729625304,0.4271005578894034
25-1067.00,"Sociology Teachers, Postsecondary",4.88,4.12,4.75,4.75,3.25,3.75,4.12,4.38,4.88,3.88,3.88,2.88,2.88,2.75,4.62,3.0,3.75,2.5,0.38,0.0,0.0,0.5,0.38,0.0,0.0,0.0,0.0,0.5,4.0,3.25,3.25,3.62,0.75,0.88,2.62,0,0.4334978616458329,0.46678422604107084,0.44297925890336387,0.4477537821967559
25-1071.00,"Health Specialties Teachers, Postsecondary",5.0,4.62,5.0,4.88,3.0,3.5,4.12,4.0,4.12,3.88,3.62,3.5,3.12,3.0,4.38,3.0,4.0,2.75,0.5,0.62,0.0,0.5,1.38,0.62,0.75,0.75,0.75,1.38,3.88,2.88,2.88,3.88,1.12,1.25,2.88,0,0.3897103653353895,0.38242617974233895,0.4164099012384668,0.3961821487720651
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5.0,4.62,4.88,4.75,2.88,2.75,4.25,4.0,4.25,4.12,4.0,4.0,3.12,3.0,5.0,3.25,4.0,2.5,1.12,0.38,0.0,1.12,2.0,0.62,0.0,1.0,0.0,1.88,3.88,3.25,3.25,3.75,1.62,1.75,3.0,0,0.28154211207009894,0.2662478948171838,0.34954434769719,0.2991114515281576
25-1081.00,"Education Teachers, Postsecondary",4.88,4.62,4.88,4.88,2.25,2.0,4.0,4.25,4.5,4.0,3.62,3.0,2.88,2.88,4.25,2.88,4.0,2.62,0.75,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,4.0,3.25,3.25,3.5,1.25,1.88,3.0,0,0.41320105354267866,0.4417723014075108,0.4313949451568817,0.4287894333690237
25-1082.00,"Library Science Teachers, Postsecondary",5.0,4.62,4.75,4.75,2.25,2.12,4.12,4.38,4.38,4.12,3.62,3.25,2.75,2.62,4.12,2.88,3.75,1.62,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.75,3.75,3.38,3.38,3.5,1.25,1.38,2.88,0,0.4252519429283552,0.4546964650604792,0.4408224469829065,0.440256951657247
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4.88,4.75,4.5,4.88,2.0,1.5,4.12,4.0,4.0,4.0,3.75,3.0,3.0,2.75,4.12,3.0,3.75,2.25,0.38,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.12,3.62,3.12,2.88,3.25,0.5,0.62,2.88,0,0.46031836630474743,0.4946652723058804,0.46737514175339356,0.4741195934546738
25-1112.00,"Law Teachers, Postsecondary",5.12,4.88,5.0,5.0,2.25,0.75,4.88,4.75,4.5,3.75,3.12,3.0,3.75,3.12,4.38,3.0,3.75,1.25,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.5,4.12,3.12,3.5,3.12,0.25,0.62,2.75,0,0.4398836341932082,0.4807132052839762,0.44746198087310063,0.45601960678342834
25-1113.00,"Social Work Teachers, Postsecondary",4.88,4.12,4.75,4.88,2.62,2.62,4.25,4.88,4.88,3.88,3.88,3.75,3.0,3.0,4.88,3.62,3.88,2.88,0.88,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,4.0,3.12,3.38,3.62,0.88,1.5,2.88,0,0.3230476134241371,0.35011572302153127,0.37486015281638174,0.34934116308735
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",4.62,4.12,4.12,4.75,2.12,1.12,3.88,4.25,4.25,3.88,3.75,3.12,3.0,2.75,4.75,2.88,3.38,2.62,0.62,0.25,0.25,0.38,0.5,0.25,0.0,0.0,0.5,0.75,3.62,3.0,3.0,3.75,1.5,2.0,2.88,0,0.3928173934151573,0.4070473283657634,0.4276097441708373,0.4091581553172527
25-1122.00,"Communications Teachers, Postsecondary",4.75,4.12,4.62,4.88,2.75,1.88,4.12,4.25,4.5,3.88,3.62,3.0,3.0,3.0,4.62,3.0,3.5,2.12,0.75,0.0,0.0,0.62,0.75,0.0,0.0,0.0,0.0,0.38,3.88,3.12,3.0,3.38,1.5,1.12,3.0,0,0.42182470867993516,0.45886279915713146,0.4390538229747847,0.4399137769372838
25-1123.00,"English Language and Literature Teachers, Postsecondary",5.0,4.25,4.88,4.75,1.88,0.88,4.0,4.0,5.0,4.0,3.75,3.12,3.0,3.0,4.38,3.12,3.5,2.0,0.5,0.0,0.0,0.62,0.25,0.0,0.0,0.0,0.0,0.25,3.75,3.0,3.0,3.25,0.0,0.5,3.0,0,0.41910533583245524,0.45176939865376653,0.44391807156695506,0.4382642686843923
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",4.88,4.62,4.75,4.75,1.62,1.38,3.88,4.0,4.0,3.88,3.62,3.0,2.75,2.75,4.12,3.0,3.62,2.38,0.88,0.0,0.0,0.88,0.5,0.0,0.0,0.0,0.0,0.75,3.75,2.88,3.0,3.25,0.12,0.62,2.75,0,0.45663996395124684,0.49425838429434954,0.46884034854400625,0.4732462322632009
