O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
17-3026,3.935,3.75,3.7199999999999998,3.7199999999999998,3.7199999999999998,3.435,3.755,3.465,3.0949999999999998,3.7199999999999998,2.935,3.1550000000000002,2.9699999999999998,2.66,3.12,2.6550000000000002,3.66,2.25,2.435,2.12,0.405,1.75,2.935,2.005,2.2199999999999998,1.94,2.6550000000000002,3.1550000000000002,3.6550000000000002,3.375,3.375,3.19,1.44,1.995,2.6550000000000002,1430.0
17-3027,4.0600000000000005,3.5,3.375,3.44,3.38,3.0,3.565,3.185,2.87,3.38,2.75,3.125,2.685,2.315,2.81,2.435,3.25,2.565,1.935,2.69,1.315,1.565,3.125,3.0,2.81,3.12,2.935,3.315,3.25,2.94,3.0,2.87,1.19,1.44,2.5,-4740.0
17-3031,3.69,3.0,3.44,3.06,3.56,2.06,3.12,2.94,2.94,3.0,2.81,3.0,2.31,2.25,3.0,2.62,3.0,2.19,1.0,1.06,0.0,1.62,2.62,2.56,1.31,1.88,1.06,2.62,2.94,2.56,2.5,3.0,1.12,1.19,2.81,2280.0
19-1011,4.62,4.0,4.25,4.12,3.5,4.38,4.25,4.38,3.25,4.0,3.38,3.25,3.0,2.88,3.38,2.88,4.12,3.0,1.0,0.0,0.0,1.0,2.88,2.25,0.0,1.0,0.0,3.0,4.5,3.62,3.88,3.25,0.88,1.5,2.88,340.0
19-1012,4.25,4.0,4.0,4.0,3.12,3.38,4.25,3.88,3.0,3.88,3.12,3.5,3.5,3.38,3.5,3.12,3.88,1.88,1.12,0.75,0.0,0.88,3.0,2.0,0.0,2.12,0.0,3.75,3.88,3.75,3.62,3.75,1.25,1.62,2.88,-710.0
19-1013,5.0,4.12,4.38,4.62,3.88,4.88,4.38,4.5,3.88,4.12,3.0,3.0,3.12,2.75,3.12,2.88,4.25,3.75,1.5,0.0,0.0,2.0,2.88,2.25,0.0,1.0,0.0,3.0,4.25,3.88,3.88,2.88,1.62,2.0,2.62,-1000.0
19-1021,5.25,4.38,5.12,4.62,4.75,5.12,5.12,5.25,4.38,4.25,3.12,3.12,3.0,2.25,4.38,2.62,4.25,3.62,2.88,2.38,0.12,2.75,2.75,2.12,1.12,1.38,1.12,3.25,4.25,4.0,4.0,3.5,1.62,2.0,3.0,10.0
19-1022,5.25,4.0,4.75,4.0,3.88,5.0,4.5,4.5,3.88,3.88,3.25,3.62,2.75,2.75,3.88,3.0,4.0,3.0,1.38,1.12,0.0,2.12,2.88,2.5,0.0,1.88,0.0,3.0,4.12,3.75,3.75,4.0,2.0,2.38,3.62,-2400.0
19-1023,4.62,4.0,4.25,3.88,3.0,3.88,4.12,3.75,3.0,3.5,3.12,3.12,3.0,3.0,3.25,3.0,3.75,1.38,1.0,0.0,0.0,1.12,2.5,2.38,0.0,0.75,0.0,2.12,3.88,3.5,3.38,3.75,2.0,2.0,3.0,280.0
19-1029,5.0,4.25,4.88,4.375,4.1850000000000005,4.6899999999999995,4.4399999999999995,4.4350000000000005,3.75,4.0,3.44,3.375,3.06,3.0,3.685,2.75,4.1850000000000005,1.81,1.56,0.435,0.0,2.125,2.625,1.0,0.0,1.31,0.0,2.56,4.125,3.62,3.5,3.5,1.935,2.06,3.185,7870.0
19-1031,4.12,4.0,4.0,3.88,3.25,3.38,4.0,3.62,3.25,3.75,3.38,3.62,3.0,3.0,3.25,3.38,3.75,3.12,1.12,0.62,0.0,1.0,2.38,2.5,0.5,1.62,0.62,2.62,3.62,3.5,3.38,3.12,1.75,2.12,3.0,2860.0
19-1032,4.0,3.88,4.12,3.75,3.62,3.38,4.25,3.62,3.0,4.38,3.38,4.12,3.38,3.75,3.12,3.0,4.12,2.75,2.0,1.75,0.0,0.38,3.0,3.12,0.0,0.62,0.0,2.25,4.38,4.38,3.88,3.62,2.38,2.62,3.5,370.0
19-1041,5.0,4.5,4.38,4.25,4.0,5.25,4.75,4.62,3.62,4.12,3.88,3.75,3.5,3.25,3.75,3.38,4.38,3.62,0.62,0.0,0.0,0.75,1.38,0.12,0.0,0.0,0.0,0.88,4.25,4.0,3.88,3.62,1.5,1.88,3.38,1990.0
19-1042,5.25,4.25,4.88,4.38,4.12,5.0,4.75,5.0,3.88,4.12,3.25,3.0,3.0,2.88,4.0,3.0,4.62,3.62,0.75,0.75,0.0,1.62,2.62,1.12,0.0,0.75,0.0,2.75,4.25,4.0,4.12,3.62,1.5,1.75,3.25,26440.0
19-2011,5.12,4.12,5.0,4.88,5.0,5.0,4.25,4.75,3.75,3.88,3.12,3.0,3.0,2.75,3.88,3.12,3.88,3.25,2.25,0.88,0.0,2.12,2.12,0.88,0.75,0.75,0.75,1.12,3.75,3.25,3.12,3.25,2.5,2.12,3.12,410.0
19-2012,5.88,4.75,5.0,4.75,5.5,5.75,4.88,5.5,5.0,4.0,3.12,3.38,3.5,2.75,4.62,3.0,4.88,3.62,3.38,1.5,0.12,3.88,2.38,0.62,0.0,2.0,0.0,3.25,4.5,4.0,3.88,3.62,2.12,2.25,3.12,-60.0
19-2021,4.88,4.25,4.0,4.12,3.88,4.88,4.12,4.0,3.25,3.62,3.25,3.12,3.12,2.88,3.75,3.12,4.0,3.0,1.25,0.0,0.0,1.38,1.75,0.12,0.0,0.0,0.0,1.0,3.88,3.62,3.12,3.12,1.25,1.38,3.0,-1560.0
19-2031,5.0,3.75,4.75,4.0,4.38,5.12,4.12,4.12,3.12,3.75,2.88,3.12,2.62,2.38,3.62,2.62,4.0,2.88,1.5,2.62,0.0,1.75,3.12,2.5,2.62,2.62,2.5,3.25,3.38,3.12,3.25,2.88,1.75,2.12,2.75,-2440.0
19-2032,4.88,4.12,4.25,4.25,4.0,5.0,4.12,4.0,3.38,4.12,3.12,3.0,3.0,2.75,3.25,2.88,4.12,4.12,1.5,0.88,0.0,1.0,2.75,2.0,0.88,1.88,1.12,2.75,3.88,3.38,3.38,2.88,1.5,1.88,2.62,-190.0
19-2041,4.5,4.0600000000000005,4.375,4.1850000000000005,3.69,4.0,4.12,4.0,3.375,3.88,3.375,3.375,3.185,2.94,3.435,3.06,4.0,2.815,1.56,0.06,0.0,1.94,1.935,1.125,0.0,0.375,0.0,2.13,3.94,3.88,3.75,3.38,2.125,2.12,2.94,-4450.0
19-2042,4.88,4.25,4.62,4.38,4.12,4.62,4.25,3.75,3.12,3.38,3.12,3.25,2.88,2.62,3.0,2.5,4.12,3.12,0.75,1.12,0.0,1.62,1.88,1.75,0.0,0.62,0.0,2.0,4.0,3.5,3.38,2.88,1.12,0.75,2.62,-4800.0
19-2043,4.62,4.0,4.12,4.12,4.38,4.38,4.5,4.38,3.38,4.0,3.0,3.12,3.25,3.0,3.12,2.88,4.12,2.62,1.0,1.62,1.88,2.62,2.38,1.88,2.0,2.0,1.38,2.88,3.75,3.75,3.62,3.25,1.5,1.75,2.88,-140.0
19-2099,4.88,4.12,4.75,3.88,4.25,4.12,4.25,3.88,3.12,3.88,3.0,3.12,2.88,2.75,3.25,3.0,4.0,3.88,2.25,0.38,0.25,2.38,2.5,1.12,0.12,0.25,0.0,1.12,4.0,3.88,3.88,3.38,1.88,2.25,3.0,-5480.0
19-3011,4.75,4.125,4.3149999999999995,4.1850000000000005,4.5,2.435,4.375,4.0,3.625,3.685,3.0,3.06,3.435,2.75,3.31,2.88,4.0,2.5,1.0,0.0,0.0,1.75,0.375,0.0,0.0,0.0,0.0,0.815,4.0,3.815,3.75,3.0,2.315,1.62,2.5,320.0
19-3022,4.25,4.12,4.12,4.12,4.25,2.75,4.25,4.0,3.38,3.62,3.25,3.25,3.12,2.75,3.25,3.0,3.75,2.5,1.12,0.0,0.0,2.25,1.25,0.12,0.0,0.0,0.0,1.38,3.75,3.12,3.25,3.5,1.5,1.5,3.0,-5480.0
19-3032,4.75,4.62,4.75,4.62,4.0,3.75,4.25,4.12,4.0,4.12,4.12,4.12,3.88,3.38,4.0,3.25,4.0,3.38,1.0,0.25,0.0,3.38,1.88,0.0,0.0,0.0,0.0,2.0,4.0,4.12,4.12,3.88,2.25,2.12,4.0,-480.0
19-3041,4.88,4.62,4.75,4.5,3.38,3.62,4.25,4.12,4.0,3.88,4.25,3.12,3.12,3.0,3.88,3.12,3.75,2.5,0.62,0.0,0.0,0.75,0.38,0.0,0.0,0.0,0.0,0.5,3.75,3.62,3.0,3.0,0.88,1.5,3.0,390.0
19-3051,4.38,4.38,4.12,4.25,3.5,2.75,4.25,4.12,2.88,3.62,3.75,3.75,3.75,3.38,2.88,3.0,4.12,3.75,1.12,0.0,0.0,1.38,1.12,0.5,0.0,0.0,0.0,1.25,4.25,4.12,4.0,3.75,2.75,2.25,3.12,2740.0
19-3091,4.88,4.25,4.94,4.56,3.25,4.31,4.31,4.19,3.88,3.75,3.62,3.5,3.06,2.62,3.88,2.69,3.94,2.75,0.94,0.25,0.0,1.31,1.31,0.75,0.0,0.19,0.0,1.0,4.0,3.56,3.31,3.25,1.5,1.75,3.19,-320.0
19-3092,4.75,4.0,4.75,4.25,3.0,3.88,4.0,3.88,3.62,3.5,3.12,3.25,2.75,2.75,3.62,3.0,3.88,2.75,1.12,0.0,0.0,0.88,1.25,0.0,0.0,0.0,0.0,0.5,3.62,3.75,3.5,3.38,1.5,1.75,2.88,140.0
19-3093,4.88,4.0,4.88,4.12,1.12,2.62,4.12,3.75,3.62,3.12,3.38,3.0,3.0,2.25,3.38,2.25,3.12,1.88,0.5,0.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.75,3.38,2.25,2.25,2.88,0.88,1.12,2.88,-180.0
19-3094,4.75,4.5,4.38,4.5,3.12,3.25,4.5,3.88,3.38,3.62,3.88,3.0,3.0,2.75,3.25,3.12,3.88,2.38,0.38,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.5,3.75,3.62,3.25,3.0,0.62,0.75,2.5,370.0
19-3099,4.25,4.0,4.0,3.88,3.75,2.12,4.25,3.75,3.12,3.75,3.25,3.75,3.62,3.0,3.12,3.25,3.88,3.12,1.62,0.0,0.0,1.75,2.0,1.75,0.0,0.12,0.12,1.0,4.0,3.88,4.0,3.75,2.25,2.62,3.0,1680.0
19-4021,4.62,3.75,3.75,3.75,3.62,3.62,4.0,3.88,2.75,3.75,2.75,2.62,2.12,1.38,2.5,2.12,3.5,1.62,1.38,1.5,0.0,1.75,3.0,2.75,1.75,2.62,0.88,3.12,3.5,3.0,2.88,2.88,1.0,2.0,2.12,6890.0
19-4031,4.12,3.88,4.0,3.38,3.12,4.12,4.12,3.25,3.25,3.88,2.88,3.0,2.25,2.62,3.12,2.75,3.12,2.62,1.62,2.75,0.0,0.62,3.25,3.0,3.0,3.0,2.75,3.38,3.25,3.0,3.12,3.0,1.0,1.88,2.5,2000.0
19-4051,4.0,3.94,3.31,3.5,3.25,3.12,3.81,3.12,2.875,4.0,2.63,2.94,2.435,2.435,2.625,2.435,3.06,0.315,1.0,1.25,0.0,0.685,3.81,3.315,2.065,3.125,2.065,3.185,3.5,2.875,2.75,3.06,0.935,1.0,2.375,40.0
19-4061,4.75,4.12,3.88,3.75,3.88,3.38,3.88,3.62,3.12,3.12,2.88,3.0,2.5,2.38,2.88,2.5,3.12,2.0,1.25,0.5,0.0,2.75,1.88,0.62,0.0,1.38,0.0,2.88,3.12,2.88,3.0,2.88,1.5,2.0,2.38,7800.0
19-4092,4.38,4.25,4.12,4.12,3.12,3.25,4.0,3.62,3.38,3.5,3.38,3.38,3.12,2.25,3.75,2.88,3.62,1.62,0.88,2.38,0.0,1.25,2.62,2.88,1.75,2.12,1.5,2.25,3.75,3.0,2.62,3.25,1.12,1.0,3.0,2950.0
19-4099,4.0,3.75,3.565,3.62,3.565,2.815,3.75,3.31,2.94,3.75,2.875,3.065,2.69,2.56,3.125,2.75,3.315,1.88,1.37,1.75,0.31,2.0,3.185,2.625,1.81,2.69,1.44,3.44,3.37,3.06,3.0,2.875,1.065,1.63,2.25,-2880.0
21-1012,4.25,4.12,4.0,4.0,2.12,0.62,4.0,3.88,3.62,3.75,5.12,3.88,3.88,3.25,3.5,4.0,3.75,0.25,0.88,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,4.0,3.12,3.38,3.88,0.62,0.62,3.0,50180.0
21-1013,4.25,5.0,4.25,4.25,1.75,2.88,4.25,4.25,3.75,4.0,5.75,3.5,3.75,3.75,3.62,4.25,4.12,3.0,0.5,0.0,0.0,0.25,0.5,0.12,0.0,0.0,0.0,0.25,4.25,3.75,3.88,3.12,0.38,0.25,3.0,28900.0
21-1015,4.0,4.12,4.0,4.0,2.0,2.0,3.88,3.25,3.75,4.12,4.88,3.75,3.75,3.12,3.0,4.0,3.62,3.0,0.62,0.0,0.0,0.5,0.75,0.12,0.0,0.0,0.0,0.25,3.62,3.62,3.5,3.12,0.62,0.5,3.0,5150.0
21-1021,4.12,4.75,4.12,4.12,1.88,2.0,4.25,3.75,3.12,3.88,4.62,3.88,3.88,4.0,3.25,4.12,3.5,3.0,0.62,0.0,0.0,0.5,2.0,1.62,0.0,0.62,0.0,1.0,4.0,3.0,3.12,3.88,0.38,0.38,3.0,41190.0
21-1022,4.25,4.75,4.12,4.25,2.0,2.62,4.0,4.0,3.62,3.88,5.12,4.0,3.75,3.25,3.0,4.38,3.88,3.0,0.75,0.0,0.0,0.75,0.88,0.88,0.0,0.0,0.0,0.88,3.88,2.5,3.62,3.25,0.75,0.88,3.12,28970.0
21-1023,4.12,4.0,4.0,4.0,2.0,2.75,4.0,3.88,3.88,4.0,5.12,4.0,4.0,3.75,3.75,4.12,4.0,2.62,1.0,0.0,0.0,1.0,2.0,0.62,0.0,0.0,0.0,1.0,3.88,3.25,3.12,3.88,1.0,1.0,3.0,8310.0
21-1091,4.0,4.0,4.0,4.25,2.25,2.75,4.0,3.62,4.12,3.75,3.88,3.25,3.25,3.12,3.25,3.25,3.0,3.0,1.0,0.0,0.0,0.5,1.62,0.75,0.0,0.0,0.0,0.38,3.12,3.12,3.0,3.25,2.12,2.12,3.0,1570.0
21-1092,4.12,4.0,3.88,4.0,1.25,0.75,4.0,3.25,2.62,3.88,4.38,3.75,3.75,3.12,3.0,3.5,3.38,1.62,0.62,0.0,0.0,0.75,1.75,1.38,0.0,0.62,0.0,1.38,3.75,3.0,3.0,3.38,1.0,0.88,2.5,1310.0
21-1093,4.0,4.0,3.88,4.12,2.0,1.5,4.0,3.25,3.0,3.75,4.12,3.38,3.38,3.0,3.12,4.0,3.12,1.38,0.88,0.0,0.0,0.88,1.38,1.62,0.0,0.25,0.0,1.25,3.25,3.12,3.0,3.12,1.25,1.38,2.38,49650.0
21-1094,4.0,4.0,3.88,4.0,2.12,0.5,3.75,3.62,3.75,3.75,4.25,3.62,3.75,3.0,3.62,3.88,3.5,0.75,1.0,0.0,0.0,0.75,1.88,1.75,0.0,1.12,0.0,1.38,3.38,3.25,3.25,3.38,1.62,1.75,3.0,11070.0
21-2011,4.75,4.5,4.38,4.75,2.5,0.88,4.12,4.12,4.25,4.12,5.38,4.0,4.38,3.88,3.88,4.25,3.75,0.88,0.5,0.0,0.0,0.5,1.38,1.25,0.0,0.0,0.0,0.38,4.0,2.88,3.88,3.62,3.38,3.12,3.88,6670.0
21-2021,4.12,3.75,3.88,4.0,2.88,0.88,3.88,3.75,3.75,3.88,4.5,3.88,3.62,2.88,3.25,3.5,3.75,2.62,0.62,0.0,0.0,0.75,1.5,0.62,0.0,0.0,0.0,1.12,3.38,3.0,3.25,3.62,3.12,2.75,3.62,2970.0
23-1011,4.88,4.75,4.88,4.88,2.12,0.88,4.88,4.25,3.12,3.75,4.0,3.38,4.5,4.25,3.12,3.75,4.0,2.38,1.0,0.0,0.0,0.75,0.62,0.38,0.0,0.0,0.0,0.25,4.25,3.5,3.25,4.0,2.0,1.75,3.0,53860.0
23-1012,4.88,4.25,4.38,4.25,1.75,0.0,4.62,4.12,3.0,3.25,3.12,3.0,3.25,2.88,2.75,2.88,3.62,0.38,0.75,0.0,0.0,0.62,0.25,0.0,0.0,0.0,0.0,0.88,3.62,2.38,2.38,3.25,0.0,0.25,0.88,4970.0
23-1021,4.75,5.5,4.88,4.75,2.38,0.75,5.12,4.12,2.88,4.0,4.0,2.88,3.62,3.5,2.88,2.88,4.0,1.75,0.88,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.12,4.88,2.75,2.88,3.38,1.0,0.62,2.5,240.0
23-1022,4.25,4.88,4.38,4.75,2.0,0.62,4.75,4.0,3.0,3.5,3.62,3.12,4.38,5.0,3.12,3.12,3.75,1.0,0.38,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.12,4.12,2.88,2.88,3.0,0.12,0.12,1.62,-620.0
23-1023,4.75,5.88,4.88,4.88,2.12,1.38,5.75,4.62,2.88,4.12,4.0,3.25,3.62,3.88,3.12,2.88,5.0,2.38,0.75,0.0,0.0,0.38,0.25,0.0,0.0,0.0,0.0,0.0,4.75,3.25,3.0,4.0,0.75,0.75,3.12,580.0
23-2011,4.0,4.0,3.88,3.75,1.62,0.75,3.5,3.25,2.12,3.0,3.12,3.0,2.88,2.5,2.0,3.0,3.0,0.5,0.75,0.0,0.0,0.62,0.75,0.0,0.0,0.0,0.0,0.25,3.0,2.12,2.12,3.12,0.0,0.0,1.75,57290.0
23-2093,3.88,3.62,3.62,3.5,2.25,0.25,3.62,3.12,2.12,3.0,2.75,3.0,2.38,2.25,2.0,2.88,3.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.25,2.75,2.12,1.62,3.25,0.62,0.62,2.5,-70.0
25-1011,5.0,4.12,5.0,4.88,3.25,1.38,4.38,4.38,4.75,4.0,3.38,3.0,2.88,2.75,4.62,3.0,3.75,2.12,0.62,0.0,0.0,1.25,0.5,0.12,0.0,0.0,0.0,0.62,4.0,3.25,3.25,3.5,0.75,0.88,2.5,-1110.0
25-1021,5.0,4.38,4.88,4.88,3.5,2.62,4.5,4.12,4.38,4.0,3.75,3.12,3.0,2.88,4.75,3.25,4.0,2.62,1.88,0.5,0.0,3.12,1.25,0.75,0.38,0.38,0.0,1.62,3.88,3.62,3.38,3.62,1.0,1.62,3.0,-3610.0
25-1022,4.88,4.0,4.75,4.38,4.88,2.25,4.12,4.12,4.25,4.0,3.25,3.0,2.75,2.62,4.25,3.0,3.62,1.75,0.62,0.0,0.0,0.88,0.25,0.0,0.0,0.0,0.0,0.5,3.38,2.88,3.12,3.25,0.62,0.75,2.12,-2860.0
25-1031,5.0,4.38,5.0,4.88,3.75,2.62,4.38,4.5,4.38,4.12,3.62,3.12,3.0,3.0,4.88,3.25,4.25,3.12,0.88,0.38,0.0,1.0,1.25,0.5,0.0,0.38,0.0,1.25,4.12,3.25,3.5,3.5,1.12,2.0,3.0,-410.0
25-1032,4.88,4.12,4.75,4.88,4.5,3.62,4.12,4.12,4.25,4.12,3.5,3.0,2.88,3.0,4.62,2.88,3.38,2.88,1.88,0.38,0.0,1.62,1.88,0.62,0.0,0.5,0.0,1.5,4.0,3.38,3.38,3.0,1.25,1.25,2.75,-570.0
25-1041,5.0,4.62,5.0,5.0,3.25,3.62,4.12,4.5,4.62,4.25,3.38,3.25,2.88,2.62,4.75,3.0,3.88,1.5,0.75,0.0,0.0,0.88,1.38,1.12,0.0,0.88,0.0,1.88,4.0,3.25,3.38,3.5,1.25,1.75,2.88,-420.0
25-1042,5.12,4.38,4.75,4.75,3.25,4.0,4.12,4.5,4.38,3.88,3.38,2.88,2.88,2.88,4.38,3.12,3.75,2.38,0.38,0.38,0.0,0.5,1.0,0.12,0.62,0.88,0.88,1.38,4.12,3.25,3.25,3.5,1.5,1.75,2.75,340.0
25-1043,5.0,4.75,4.88,4.75,3.12,3.38,4.25,4.25,4.12,3.88,3.75,3.0,2.88,2.88,4.88,3.0,4.0,2.62,1.0,0.0,0.0,1.12,1.5,1.38,0.0,0.62,0.0,1.25,3.5,3.0,3.12,3.25,1.75,1.75,3.0,-80.0
25-1051,5.12,4.62,4.75,4.75,4.0,4.12,4.25,4.25,4.25,4.12,3.62,3.12,3.0,3.0,4.25,3.25,3.88,2.88,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.12,0.0,0.75,4.0,3.62,3.25,3.62,1.38,2.12,2.88,130.0
25-1052,5.0,4.0,4.88,5.0,3.75,4.25,4.0,4.0,4.0,4.0,3.38,3.0,3.0,2.38,4.62,3.0,4.0,3.0,1.25,0.88,0.0,1.12,1.88,0.25,0.12,1.12,0.0,2.12,3.75,3.25,3.12,3.62,1.75,1.75,3.0,-90.0
25-1053,5.0,4.25,4.75,4.5,3.25,4.5,4.25,4.25,4.25,4.0,3.62,3.25,3.0,2.88,4.38,3.12,3.88,2.88,0.38,0.0,0.0,0.38,0.88,0.0,0.0,0.5,0.0,1.38,3.88,3.12,3.12,3.5,1.5,2.0,2.88,760.0
25-1054,5.0,4.62,5.0,5.0,4.0,4.62,4.88,4.38,4.38,4.0,3.12,3.12,3.0,2.5,4.38,3.0,4.0,2.75,1.0,1.0,0.0,1.12,1.62,0.62,1.25,1.5,1.38,2.12,3.88,3.12,3.0,3.12,1.38,2.0,3.12,-380.0
25-1061,5.0,4.38,5.0,4.88,3.12,4.0,4.25,4.38,4.25,4.12,3.75,3.12,3.0,3.0,4.25,3.0,3.88,2.38,0.5,0.0,0.0,0.5,0.12,0.0,0.0,0.0,0.0,0.38,4.0,3.38,3.62,3.62,1.0,1.38,3.0,-250.0
25-1062,4.88,4.25,4.88,4.75,2.12,2.75,4.12,4.0,4.0,3.88,3.5,3.0,3.12,2.38,3.88,3.0,3.62,2.75,1.0,0.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.62,3.62,3.0,3.0,3.75,1.62,1.62,3.12,1450.0
25-1063,4.38,4.12,4.12,4.25,3.75,2.88,4.12,4.12,4.0,3.62,3.5,3.0,2.5,2.12,4.25,2.75,3.62,2.75,0.75,0.0,0.0,1.38,1.12,0.0,0.0,0.0,0.0,0.25,3.88,3.12,3.12,3.0,1.12,0.88,2.62,-440.0
25-1064,4.75,4.0,4.88,4.88,3.0,3.5,4.0,4.12,3.88,3.88,3.25,3.38,3.12,3.0,4.75,3.0,3.75,2.5,1.12,0.0,0.0,1.38,0.5,0.0,0.0,0.0,0.0,0.38,3.75,3.0,3.0,3.25,1.38,1.25,3.0,-470.0
25-1065,4.88,4.0,4.88,5.0,2.12,2.25,4.12,4.0,4.0,3.62,3.5,3.0,3.12,2.88,4.25,3.12,4.0,2.88,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,3.75,3.0,3.0,3.12,0.88,1.0,2.88,-1300.0
25-1066,5.0,4.88,5.0,5.0,3.25,4.12,4.25,4.62,5.0,3.88,4.5,3.0,2.88,2.5,4.25,3.0,3.88,2.25,0.75,0.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.5,4.12,3.12,3.25,3.5,0.75,1.0,3.0,-450.0
25-1067,4.88,4.12,4.75,4.75,3.25,3.75,4.12,4.38,4.88,3.88,3.88,2.88,2.88,2.75,4.62,3.0,3.75,2.5,0.38,0.0,0.0,0.5,0.38,0.0,0.0,0.0,0.0,0.5,4.0,3.25,3.25,3.62,0.75,0.88,2.62,-3050.0
25-1071,5.0,4.62,5.0,4.88,3.0,3.5,4.12,4.0,4.12,3.88,3.62,3.5,3.12,3.0,4.38,3.0,4.0,2.75,0.5,0.62,0.0,0.5,1.38,0.62,0.75,0.75,0.75,1.38,3.88,2.88,2.88,3.88,1.12,1.25,2.88,33830.0
25-1072,5.0,4.62,4.88,4.75,2.88,2.75,4.25,4.0,4.25,4.12,4.0,4.0,3.12,3.0,5.0,3.25,4.0,2.5,1.12,0.38,0.0,1.12,2.0,0.62,0.0,1.0,0.0,1.88,3.88,3.25,3.25,3.75,1.62,1.75,3.0,2840.0
25-1081,4.88,4.62,4.88,4.88,2.25,2.0,4.0,4.25,4.5,4.0,3.62,3.0,2.88,2.88,4.25,2.88,4.0,2.62,0.75,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,4.0,3.25,3.25,3.5,1.25,1.88,3.0,1320.0
25-1082,5.0,4.62,4.75,4.75,2.25,2.12,4.12,4.38,4.38,4.12,3.62,3.25,2.75,2.62,4.12,2.88,3.75,1.62,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.75,3.75,3.38,3.38,3.5,1.25,1.38,2.88,-150.0
25-1111,4.88,4.75,4.5,4.88,2.0,1.5,4.12,4.0,4.0,4.0,3.75,3.0,3.0,2.75,4.12,3.0,3.75,2.25,0.38,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.12,3.62,3.12,2.88,3.25,0.5,0.62,2.88,-820.0
25-1112,5.12,4.88,5.0,5.0,2.25,0.75,4.88,4.75,4.5,3.75,3.12,3.0,3.75,3.12,4.38,3.0,3.75,1.25,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.5,4.12,3.12,3.5,3.12,0.25,0.62,2.75,190.0
25-1113,4.88,4.12,4.75,4.88,2.62,2.62,4.25,4.88,4.88,3.88,3.88,3.75,3.0,3.0,4.88,3.62,3.88,2.88,0.88,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,4.0,3.12,3.38,3.62,0.88,1.5,2.88,2670.0
25-1121,4.62,4.12,4.12,4.75,2.12,1.12,3.88,4.25,4.25,3.88,3.75,3.12,3.0,2.75,4.75,2.88,3.38,2.62,0.62,0.25,0.25,0.38,0.5,0.25,0.0,0.0,0.5,0.75,3.62,3.0,3.0,3.75,1.5,2.0,2.88,-3440.0
25-1122,4.75,4.12,4.62,4.88,2.75,1.88,4.12,4.25,4.5,3.88,3.62,3.0,3.0,3.0,4.62,3.0,3.5,2.12,0.75,0.0,0.0,0.62,0.75,0.0,0.0,0.0,0.0,0.38,3.88,3.12,3.0,3.38,1.5,1.12,3.0,-350.0
25-1123,5.0,4.25,4.88,4.75,1.88,0.88,4.0,4.0,5.0,4.0,3.75,3.12,3.0,3.0,4.38,3.12,3.5,2.0,0.5,0.0,0.0,0.62,0.25,0.0,0.0,0.0,0.0,0.25,3.75,3.0,3.0,3.25,0.0,0.5,3.0,-8390.0
25-1124,4.88,4.62,4.75,4.75,1.62,1.38,3.88,4.0,4.0,3.88,3.62,3.0,2.75,2.75,4.12,3.0,3.62,2.38,0.88,0.0,0.0,0.88,0.5,0.0,0.0,0.0,0.0,0.75,3.75,2.88,3.0,3.25,0.12,0.62,2.75,-6020.0
25-1125,4.75,4.12,4.75,4.75,2.0,1.75,3.88,4.0,4.25,4.0,3.88,3.12,3.0,2.88,4.25,3.12,3.75,2.5,0.25,0.0,0.0,0.25,0.38,0.0,0.0,0.0,0.0,0.25,3.75,3.0,3.0,3.75,0.88,0.75,3.0,-2610.0
25-1126,4.88,4.38,5.0,4.75,2.12,1.38,4.25,4.38,4.62,3.88,3.38,3.0,3.12,2.5,4.38,3.0,3.75,1.88,0.62,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.38,3.62,3.12,3.25,3.0,0.25,0.88,2.75,280.0
